date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:56	115/115	---M-Z	200	added ('OK')	text/plain	date:Sun,%2027%20Oct%202024%2004:32:55%20GMT	https://kit2.wirastudio.co/robots.txt		(from )
10:02:57	185968/185968	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2004:32:55%20GMT	https://kit2.wirastudio.co/perdo/template-kit/home/	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/template-kit/home/index.html	(from )
10:02:57	60705/60705	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Oct%202024%2001:41:12%20GMT	https://kit2.wirastudio.co/perdo/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.24.7	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/wp-content/plugins/elementor/assets/css/frontend.min52dd.css	(from https://kit2.wirastudio.co/perdo/template-kit/home/)
10:02:57	20295/20295	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2002:55:44%20GMT	https://kit2.wirastudio.co/perdo/wp-content/uploads/sites/3/elementor/css/post-460.css?ver=1726714544	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/wp-content/uploads/sites/3/elementor/css/post-4607f6c.css	(from https://kit2.wirastudio.co/perdo/template-kit/home/)
10:02:57	19400/19400	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2002:55:44%20GMT	https://kit2.wirastudio.co/perdo/wp-content/uploads/sites/3/elementor/css/post-464.css?ver=1726714544	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/wp-content/uploads/sites/3/elementor/css/post-4647f6c.css	(from https://kit2.wirastudio.co/perdo/template-kit/home/)
10:02:58	1130/1130	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2000:04:52%20GMT	https://kit2.wirastudio.co/perdo/wp-content/plugins/template-kit-export/assets/public/template-kit-export-public.css?ver=1.0.23	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/wp-content/plugins/template-kit-export/assets/public/template-kit-export-public982a.css	(from https://kit2.wirastudio.co/perdo/template-kit/home/)
10:02:58	4719/4719	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2000:04:42%20GMT	https://kit2.wirastudio.co/perdo/wp-content/plugins/metform/public/assets/lib/cute-alert/style.css?ver=3.9.0	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/wp-content/plugins/metform/public/assets/lib/cute-alert/style9086.css	(from https://kit2.wirastudio.co/perdo/template-kit/home/)
10:02:58	22474/22474	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2000:04:42%20GMT	https://kit2.wirastudio.co/perdo/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.9.0	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/wp-content/plugins/metform/public/assets/css/text-editor9086.css	(from https://kit2.wirastudio.co/perdo/template-kit/home/)
10:02:58	5501/5501	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2000:05:29%20GMT	https://kit2.wirastudio.co/perdo/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/wp-content/themes/hello-elementor/style.minb12b.css	(from https://kit2.wirastudio.co/perdo/template-kit/home/)
10:02:58	5146/5146	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2000:05:29%20GMT	https://kit2.wirastudio.co/perdo/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/My%20Web%20Sites/SMK/kit2.wirastudio.co/perdo/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://kit2.wirastudio.co/perdo/template-kit/home/)
